date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,4.3,3.4,5.3,0,0,,,,,
2016-01-02,4.1,3.2,5,7.2,0,,,,,
2016-01-03,4.3,2.6,6.1,6,0,,,,,
2016-01-04,3.1,1.2,5.1,7.6,0,,,,,
2016-01-05,4.3,1.9,7.5,0.8,0,,,,,
2016-01-06,4,1.8,6.6,1.8,0,,,,,
2016-01-07,2.9,-0.2,6.6,15.9,0,,,,,
2016-01-08,4.1,2.8,5.4,22.4,0,,,,,
2016-01-09,5.7,3.6,7.5,6.5,0,,,,,
2016-01-10,4.5,2.7,5.8,16.6,0,,,,,
2016-01-11,4.8,3.4,8,9.9,0,,,,,
2016-01-12,4.1,1.1,5.9,3.4,0,,,,,
2016-01-13,1.9,-0.3,3.1,4.1,10,,,,,
2016-01-14,-0.4,-2,1.9,3.8,0,,,,,
2016-01-15,0.3,-1.3,2.2,0.3,70,,,,,
2016-01-16,-0.9,-1.8,0.5,0.9,100,,,,,
2016-01-17,-2.8,-6.8,-0.4,2.7,80,,,,,
2016-01-18,-6.7,-8.7,-4.2,0,90,,,,,
2016-01-19,-2.8,-6.5,-0.4,2.8,,,,,,
2016-01-20,-0.4,-2.3,0.3,0,80,,,,,
2016-01-21,-2.1,-4.4,1.2,0,80,,,,,
2016-01-22,-0.7,-3.1,2.5,0.6,70,,,,,
2016-01-23,3.2,0.3,6.8,0.2,50,,,,,
2016-01-24,1.4,-2.3,4.6,0,30,,,,,
2016-01-25,4.7,0.6,10.6,0,0,,,,,
2016-01-26,5.7,2.1,10.6,0,0,,,,,
2016-01-27,6.9,3,11.6,0,0,,,,,
2016-01-28,8.5,6.3,10.6,0.5,0,,,,,
2016-01-29,7.2,4.5,9.5,0,0,,,,,
2016-01-30,6.5,2.1,10.9,17,0,,,,,
2016-01-31,6.1,2,10.9,14.9,0,,,,,
2016-02-01,10.7,7,13.5,0,0,,,,,
2016-02-02,8.7,6.6,11.8,1.6,0,,,,,
